Comment,Designator,Footprint,LCSC
Switch_4_Voies,U6,DIP-8_300_ELL,
LM78L05ACM,U3,SOIC127P599X175-8N,
09662527611,J1,09662527611,
XT60PW-M,U2,XT60PW-M,
HC-06,U5,HC-06,
Arduino_Nano_Socket,XA1,arduino_nano,
XT60PW-F,U1,XT60PW-F,
BTS2140,U4,TRANS_IPB027N10N3_G,
