Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,09662527611,09662527611,157.87,-80.71,-90.0,top
U1,XT60PW-F,XT60PW-F,231.18,-82.55,-90.0,top
U2,XT60PW-M,XT60PW-M,231.18,-59.69,-90.0,top
U3,LM78L05ACM,SOIC127P599X175-8N,212.09,-64.77,0.0,top
U4,BTS2140,TRANS_IPB027N10N3_G,212.09,-83.88,-90.0,top
U5,HC-06,HC-06,166.37,-88.9,90.0,top
U6,Switch_4_Voies,DIP-8_300_ELL,212.09,-54.61,0.0,top
XA1,Arduino_Nano_Socket,arduino_nano,194.945,-49.022,180.0,top
